aX,aY,aZ,gX,gY,gZ
-0.474,0.881,-0.036,-11.970,4.690,103.110
-0.458,0.885,-0.033,-12.390,4.620,103.110
-0.446,0.895,-0.032,-12.880,4.410,102.970
-0.435,0.910,-0.030,-13.440,4.130,103.110
-0.426,0.916,-0.034,-13.720,4.060,102.690
-0.407,0.922,-0.034,-13.930,3.850,102.620
-0.393,0.929,-0.030,-14.490,3.570,102.200
-0.381,0.915,-0.041,-14.560,3.570,101.290
-0.362,0.918,-0.026,-14.280,3.150,100.310
-0.334,0.918,-0.011,-13.510,2.380,98.700
-0.313,0.913,-0.015,-12.040,1.890,96.670
-0.300,0.919,-0.013,-10.500,1.540,95.340
-0.287,0.928,-0.014,-9.520,0.910,94.220
-0.264,0.936,-0.014,-8.750,0.280,93.030
-0.253,0.936,-0.019,-7.980,-0.070,91.630
-0.241,0.932,-0.014,-7.210,-0.630,89.670
-0.224,0.937,-0.005,-6.580,-1.190,87.360
-0.200,0.938,-0.006,-5.950,-1.820,85.680
-0.186,0.945,-0.007,-5.460,-2.310,83.090
-0.171,0.956,-0.014,-5.180,-2.520,81.620
-0.151,0.969,-0.011,-5.320,-3.080,79.940
-0.125,0.975,-0.014,-5.670,-3.010,78.820
-0.115,0.976,-0.006,-5.740,-3.220,76.930
-0.109,0.967,-0.009,-5.670,-3.080,74.970
-0.095,0.957,-0.011,-5.740,-3.290,72.800
-0.078,0.966,-0.011,-6.020,-3.080,70.350
-0.065,0.973,-0.020,-6.580,-2.870,68.110
-0.056,0.977,-0.020,-7.420,-2.310,66.080
-0.052,0.972,-0.021,-8.260,-2.100,63.560
-0.042,0.962,-0.016,-8.330,-1.680,59.290
-0.026,0.937,-0.008,-7.980,-1.400,56.000
-0.015,0.924,-0.003,-7.210,-1.260,51.940
-0.000,0.938,-0.001,-6.440,-1.050,48.020
-0.001,0.971,-0.007,-5.810,-0.910,43.680
-0.004,0.978,-0.008,-5.670,-0.560,41.230
-0.004,0.973,-0.011,-5.950,-0.280,38.850
0.001,0.964,-0.010,-6.300,-0.140,34.790
0.007,0.944,-0.007,-6.020,-0.280,31.570
0.013,0.940,0.000,-4.970,-0.350,28.280
0.014,0.949,0.004,-4.060,-0.840,25.410
0.017,0.960,0.004,-2.800,-0.980,23.100
0.010,0.967,-0.001,-2.240,-1.470,20.860
0.009,0.967,-0.002,-1.750,-1.750,18.130
0.010,0.958,-0.000,-1.470,-2.240,15.680
0.009,0.955,0.006,-0.630,-3.010,12.950
0.009,0.953,0.001,0.420,-3.360,10.290
-0.001,0.956,-0.004,1.610,-3.920,6.300
0.000,0.968,-0.004,2.030,-4.410,3.570
0.002,0.975,-0.008,2.310,-4.690,1.190
0.002,0.983,-0.009,2.100,-5.040,-0.840
-0.003,0.987,-0.008,2.170,-5.110,-3.360
-0.003,0.990,-0.010,2.380,-5.320,-5.180
-0.003,0.996,-0.018,2.240,-5.390,-6.720
-0.006,1.004,-0.021,1.960,-5.250,-7.630
-0.008,1.014,-0.023,1.120,-5.040,-8.400
-0.014,1.017,-0.022,0.560,-5.180,-9.030
