aX,aY,aZ,gX,gY,gZ
0.525,0.996,0.253,20.510,13.090,-47.600
0.512,0.956,0.300,16.100,16.870,-44.730
0.486,0.911,0.388,10.360,17.780,-44.100
0.452,0.820,0.437,0.350,18.060,-46.410
0.434,0.774,0.495,-2.100,14.070,-47.530
0.427,0.753,0.508,-3.430,9.380,-49.700
0.385,0.697,0.475,-2.240,3.850,-53.690
0.385,0.677,0.460,-0.140,0.910,-58.170
0.379,0.721,0.436,2.800,-2.380,-62.090
0.384,0.834,0.411,3.010,-4.830,-60.480
0.441,1.021,0.310,2.170,-5.040,-52.710
0.467,1.113,0.239,3.640,-2.730,-43.820
0.476,1.139,0.180,6.370,2.450,-35.140
0.471,1.130,0.169,6.580,6.370,-26.740
0.471,1.102,0.163,7.630,10.780,-21.280
0.466,1.081,0.213,6.440,15.540,-16.520
0.433,1.017,0.304,3.780,16.940,-13.790
0.401,0.944,0.371,2.940,16.030,-12.530
0.381,0.838,0.448,3.780,13.090,-13.930
0.362,0.768,0.498,4.060,7.700,-16.590
0.361,0.762,0.473,6.370,4.620,-17.780
0.357,0.768,0.478,8.260,-0.840,-19.040
0.347,0.773,0.446,9.660,-3.920,-21.210
0.345,0.783,0.398,12.390,-6.020,-24.780
0.345,0.820,0.355,15.050,-6.650,-26.600
0.366,0.898,0.326,15.190,-6.580,-25.480
0.386,0.978,0.291,13.230,-3.710,-22.610
0.400,1.010,0.267,11.270,-1.400,-18.970
0.409,1.038,0.238,9.730,2.660,-13.580
0.406,1.033,0.249,5.040,5.180,-11.410
0.393,0.996,0.232,2.590,9.310,-9.660
0.381,0.959,0.260,1.330,11.480,-9.310
0.368,0.920,0.305,0.910,11.690,-9.310
0.362,0.878,0.338,2.030,11.690,-10.010
0.337,0.830,0.393,1.050,9.520,-13.230
0.323,0.797,0.412,1.330,7.490,-15.610
0.323,0.788,0.438,3.080,4.270,-17.360
0.332,0.817,0.444,5.250,0.210,-18.410
0.323,0.813,0.396,7.140,-2.310,-21.140
0.325,0.817,0.345,11.970,-2.800,-24.290
0.340,0.920,0.308,12.810,-2.310,-22.890
0.361,0.973,0.282,12.110,-0.140,-20.020
0.372,1.013,0.280,10.290,1.890,-16.310
0.374,1.058,0.256,7.910,3.780,-11.480
0.437,1.894,0.428,7.770,-15.820,78.610
0.526,2.191,0.508,28.560,-25.900,126.350
0.552,2.387,0.604,54.320,-42.630,179.970
0.591,2.692,0.740,80.850,-71.120,246.680
0.605,3.040,0.797,105.350,-91.420,326.830
0.508,3.153,0.992,126.420,-114.660,431.060
0.305,2.987,1.131,115.850,-136.010,497.700
0.042,2.646,1.197,92.330,-155.120,548.940
-0.304,2.294,1.211,52.150,-176.470,586.530
-0.483,2.079,0.973,12.320,-178.290,618.800
-0.638,1.504,1.073,-17.990,-191.450,631.890
-0.762,1.118,1.124,-55.510,-219.520,618.100
-0.795,0.817,0.946,-62.090,-243.040,597.730
-0.720,0.533,0.661,-56.210,-272.720,572.040
-0.626,0.272,0.414,-44.660,-286.650,541.100
-0.553,-0.028,0.015,-35.560,-292.670,492.940
-0.377,-0.261,-0.527,3.430,-282.870,462.910
-0.186,-0.504,-0.997,73.850,-260.050,428.820
-0.122,-0.820,-1.112,114.940,-227.430,357.770
-0.044,-1.156,-1.221,80.850,-178.920,307.300
0.054,-1.407,-1.331,33.880,-100.940,259.490
0.197,-1.690,-1.306,5.320,-46.550,211.680
0.262,-1.817,-1.495,32.410,21.070,135.240
0.250,-2.094,-0.608,11.060,18.830,66.290
0.418,-1.345,-0.779,11.130,57.050,30.380
0.657,-0.703,-0.369,23.660,63.910,14.210
0.778,-0.366,-0.047,27.930,60.970,0.280
