aX,aY,aZ,gX,gY,gZ
0.124,1.007,-0.002,19.740,-11.410,-108.430
0.098,1.009,-0.010,19.180,-10.990,-107.870
0.075,1.020,-0.014,18.760,-10.430,-106.750
0.055,1.042,-0.011,18.060,-9.870,-105.210
0.027,1.049,-0.022,16.730,-9.310,-102.340
-0.001,1.055,-0.031,15.330,-8.750,-99.820
-0.016,1.065,-0.034,13.860,-8.680,-97.020
-0.034,1.074,-0.037,12.530,-8.120,-93.870
-0.053,1.078,-0.042,11.130,-7.840,-89.110
-0.072,1.074,-0.046,9.380,-7.770,-85.470
-0.092,1.072,-0.046,8.610,-7.910,-81.480
-0.110,1.076,-0.046,8.050,-7.840,-77.140
-0.129,1.077,-0.050,7.840,-7.630,-54.880
-0.147,1.075,-0.060,7.630,-7.280,-67.410
-0.158,1.071,-0.066,6.790,-7.000,-63.350
-0.161,1.081,-0.065,6.160,-6.230,-59.500
-0.166,1.091,-0.064,5.180,-5.530,-55.860
-0.173,1.098,-0.064,3.710,-4.830,-51.030
-0.184,1.090,-0.067,2.870,-4.060,-47.460
-0.193,1.082,-0.065,2.310,-3.500,-44.030
-0.193,1.083,-0.054,1.960,-2.940,-40.600
-0.199,1.079,-0.058,2.030,-2.590,-35.980
-0.209,1.071,-0.060,1.960,-2.450,-32.970
-0.218,1.062,-0.056,1.820,-2.240,-29.750
-0.221,1.043,-0.060,1.750,-2.240,-27.090
-0.213,1.041,-0.052,2.310,-2.450,-24.080
-0.214,1.049,-0.051,2.800,-2.170,-21.560
-0.222,1.058,-0.053,2.940,-2.170,-19.040
-0.221,1.068,-0.057,2.170,-1.960,-16.240
-0.220,1.070,-0.063,0.350,-1.820,-12.880
-0.213,1.067,-0.058,-0.910,-1.680,-10.500
-0.203,1.060,-0.053,-1.680,-1.400,-8.400
-0.197,1.052,-0.050,-2.240,-1.260,-6.370
-0.194,1.052,-0.051,-2.520,-1.120,-3.780
-0.189,1.051,-0.051,-2.940,-0.910,-1.890
-0.181,1.048,-0.043,-3.290,-0.630,-0.210
-0.169,1.044,-0.044,-3.850,-0.630,1.470
-0.166,1.032,-0.041,-4.130,-0.490,3.220
-0.153,1.016,-0.040,-3.990,-0.350,4.200
-0.142,1.026,-0.030,-3.850,0.140,4.690
-0.131,1.038,-0.034,-3.570,0.560,5.600
-0.133,1.049,-0.038,-4.060,0.910,7.210
-0.127,1.050,-0.034,-5.320,1.400,8.470
-0.119,1.038,-0.033,-6.230,1.750,9.240
-0.108,1.022,-0.022,-6.510,1.960,9.520
-0.098,1.015,-0.015,-6.440,2.030,9.590
-0.097,1.010,-0.014,-5.740,2.310,9.800
-0.095,1.007,-0.014,-5.390,2.310,10.080
-0.086,1.006,-0.011,-5.390,2.240,10.010
-0.079,1.008,-0.007,-5.390,2.310,10.010
-0.077,1.006,-0.006,-5.180,2.240,9.730
-0.081,1.001,-0.003,-4.900,2.100,9.170
-0.080,0.995,0.002,-4.480,1.820,8.330
-0.075,0.990,0.001,-4.130,1.540,7.560
-0.071,0.991,0.003,-3.640,1.330,6.650
-0.070,0.992,0.001,-2.870,1.050,5.250
-0.075,0.991,0.003,-2.730,0.770,4.130
-0.074,0.988,0.003,-2.380,0.490,3.010
-0.071,0.987,0.003,-2.170,-0.140,2.170
0.629,0.722,0.076,-2.030,-3.780,56.490
0.655,0.700,0.071,-2.730,-3.500,46.410
0.673,0.687,0.071,-3.220,-3.080,36.190
0.690,0.680,0.072,-3.150,-3.080,23.030
0.717,0.699,0.074,-3.150,-2.870,15.190
0.732,0.723,0.080,-3.150,-2.940,9.800
0.742,0.749,0.083,-2.800,-3.360,6.020
0.720,0.738,0.078,-1.750,-3.570,2.450
0.692,0.703,0.068,0.000,-3.990,-2.730
0.690,0.686,0.066,1.470,-4.340,-6.650
0.692,0.691,0.064,2.520,-4.200,-11.270
0.687,0.698,0.054,3.220,-3.500,-16.520
0.686,0.704,0.055,3.640,-2.660,-22.190
0.684,0.711,0.049,3.570,-1.890,-31.150
0.671,0.708,0.051,3.570,-0.700,-38.990
0.658,0.704,0.055,3.850,0.000,-47.390
0.640,0.702,0.061,4.550,0.490,-56.560
0.622,0.704,0.066,5.740,1.190,-65.520
0.609,0.718,0.073,7.070,1.120,-74.270
0.595,0.741,0.072,8.330,1.190,-82.180
0.575,0.762,0.073,9.100,0.840,-91.560
0.555,0.780,0.074,9.520,0.490,-97.510
0.531,0.795,0.074,10.010,-0.420,-102.620
0.509,0.797,0.079,10.850,-1.890,-106.960
0.486,0.807,0.080,12.180,-3.290,-110.320
0.467,0.822,0.076,13.650,-4.830,-113.120
0.445,0.835,0.068,14.910,-6.440,-115.850
0.425,0.857,0.060,16.030,-7.980,-117.600
0.403,0.872,0.054,16.730,-9.310,-119.140
0.371,0.874,0.039,17.430,-10.640,-121.030
0.348,0.879,0.037,17.640,-11.480,-122.850
0.333,0.900,0.039,18.130,-12.110,-125.230
0.324,0.922,0.040,18.550,-12.670,-127.190
0.295,0.940,0.025,19.040,-12.600,-128.940
0.273,0.949,0.016,18.970,-12.530,-130.270
0.249,0.968,0.004,18.270,-12.390,-131.320
0.233,0.991,0.001,17.290,-11.690,-131.880
0.210,0.996,-0.006,16.100,-11.060,-131.600
0.182,1.001,-0.013,15.470,-10.430,-131.250
0.143,1.003,-0.014,15.050,-9.800,-130.480
0.113,1.002,-0.016,15.190,-9.450,-129.150
0.084,1.009,-0.018,15.400,-9.520,-126.560
0.054,1.020,-0.017,15.680,-9.870,-123.620
0.022,1.030,-0.017,16.310,-10.430,-120.750
-0.005,1.041,-0.020,16.520,-10.780,-116.970
-0.026,1.059,-0.032,16.030,-10.990,-111.160
-0.058,1.065,-0.049,14.560,-11.270,-106.750
-0.086,1.071,-0.066,12.740,-11.480,-102.340
-0.108,1.081,-0.064,10.990,-11.200,-97.930
-0.117,1.090,-0.065,9.380,-10.640,-91.840
-0.128,1.111,-0.068,7.700,-9.660,-86.940
-0.150,1.123,-0.077,5.600,-7.910,-82.390
-0.171,1.111,-0.082,3.080,-6.930,-78.260
-0.182,1.095,-0.079,0.350,-6.090,-73.220
-0.176,1.113,-0.068,-0.840,-5.880,-69.440
-0.191,1.126,-0.055,-1.120,-5.810,-65.590
-0.226,1.114,-0.057,-1.190,-5.810,-59.780
-0.242,1.104,-0.053,-0.980,-6.510,-55.230
-0.241,1.095,-0.043,-0.280,-7.000,-50.960
-0.241,1.072,-0.045,0.420,-7.070,-46.970
-0.234,1.061,-0.045,0.700,-7.210,-42.420
-0.229,1.065,-0.044,0.560,-7.280,-39.060
-0.226,1.070,-0.042,0.210,-7.560,-35.980
-0.227,1.067,-0.041,-0.210,-7.490,-32.760
-0.229,1.067,-0.040,-0.560,-7.630,-28.560
-0.234,1.064,-0.039,-0.980,-7.910,-25.410
-0.229,1.062,-0.038,-1.540,-7.980,-22.190
-0.225,1.058,-0.038,-1.890,-7.980,-18.270
-0.221,1.052,-0.035,-2.450,-8.050,-15.750
-0.212,1.050,-0.033,-2.520,-7.910,-13.300
-0.209,1.047,-0.034,-2.730,-7.630,-10.430
-0.204,1.047,-0.033,-3.080,-7.280,-8.470
-0.200,1.046,-0.035,-3.500,-6.720,-6.440
-0.191,1.042,-0.030,-4.060,-6.300,-4.760
-0.183,1.034,-0.026,-4.340,-5.950,-3.010
-0.178,1.028,-0.022,-4.410,-5.250,-1.750
-0.170,1.029,-0.020,-4.410,-4.830,-0.630
-0.162,1.028,-0.020,-4.340,-4.200,0.840
-0.156,1.028,-0.015,-4.410,-3.780,2.030
-0.149,1.033,-0.012,-4.550,-3.080,3.150
-0.142,1.025,-0.013,-4.690,-2.660,4.060
-0.141,1.016,-0.010,-4.550,-2.030,5.040
-0.137,1.009,-0.010,-4.200,-1.680,5.600
-0.129,1.005,-0.009,-3.780,-1.190,5.810
-0.124,1.001,-0.003,-3.290,-0.910,5.880
-0.123,0.997,-0.002,-2.730,-0.560,5.810
-0.118,0.996,-0.003,-2.170,-0.420,5.740
-0.115,0.999,-0.004,-1.890,0.000,5.810
-0.110,1.003,-0.000,-1.540,0.280,5.460
-0.109,0.998,-0.001,-1.190,0.420,4.970
-0.109,0.997,-0.001,-0.840,0.350,4.620
-0.108,0.995,-0.000,-0.560,0.630,4.410
-0.104,0.993,-0.005,-0.210,0.630,3.990
-0.103,0.999,0.000,0.210,0.630,3.290
-0.102,1.000,-0.001,0.350,0.420,3.010
-0.109,1.001,-0.005,0.490,0.140,2.170
-0.112,1.000,-0.007,0.560,-0.070,1.540
-0.109,0.998,-0.007,0.560,-0.140,0.910
-0.106,1.001,-0.009,0.350,-0.280,0.140
-0.105,1.004,-0.006,0.350,-0.420,-0.560
-0.110,1.004,-0.007,0.000,-0.700,-0.980
-0.112,1.005,-0.010,-0.210,-0.770,-1.470
-0.114,1.004,-0.014,-0.140,-0.840,-2.240
-0.113,1.005,-0.012,-0.420,-1.050,-2.590
-0.113,1.006,-0.014,-0.490,-1.260,-2.660
-0.119,1.007,-0.014,-0.490,-1.470,-2.870
-0.120,1.006,-0.016,-0.420,-1.540,-3.010
-0.119,1.009,-0.014,-0.280,-1.820,-2.800
-0.120,1.013,-0.014,-0.070,-1.960,-2.660
-0.119,1.015,-0.018,-17.850,-2.030,-2.310
-0.125,1.005,-0.021,-0.210,-1.960,-2.100
-0.122,1.003,-0.017,-0.210,-2.030,-2.100
-0.122,1.005,-0.019,-0.210,-1.960,-2.170
-0.122,1.006,-0.022,-0.140,-1.960,-1.890
-0.121,1.010,-0.019,0.140,-1.610,-2.030
-0.137,1.003,-0.020,-0.070,-1.610,-2.660
-0.134,1.006,-0.024,-0.350,-1.470,-2.730
-0.133,1.013,-0.024,-0.700,-1.400,-2.870
-0.137,1.015,-0.021,-0.910,-1.330,-2.940
-0.281,1.195,-0.045,-7.210,6.020,66.290
-0.288,1.207,-0.046,-8.680,7.280,76.580
-0.297,1.211,-0.039,-9.660,8.540,87.220
-0.315,1.213,-0.038,-10.150,9.450,97.860
-0.310,1.222,-0.028,-10.290,9.940,112.910
-0.291,1.259,-0.021,-10.990,10.010,125.160
-0.269,1.275,-0.021,-11.970,10.290,138.320
-0.264,1.281,-0.019,-13.370,10.150,151.200
-0.258,1.270,-0.022,-14.840,9.870,167.580
-0.234,1.250,-0.004,-16.870,9.380,178.920
-0.195,1.242,0.000,-18.200,8.680,189.630
-0.171,1.217,-0.010,-19.320,7.980,198.800
-0.161,1.155,-0.016,-20.440,7.910,206.290
-0.132,1.097,-0.019,-21.280,7.840,213.430
-0.083,1.026,-0.023,-21.770,7.980,216.020
-0.056,0.956,-0.016,-21.350,8.120,216.020
-0.007,0.899,0.004,-20.930,7.280,214.690
0.041,0.854,0.020,-19.530,6.160,211.540
0.082,0.791,0.036,-16.450,4.550,204.820
0.129,0.755,0.055,-13.860,2.730,198.030
0.174,0.707,0.058,-11.200,1.610,189.350
0.214,0.661,0.059,-9.100,-0.280,178.780
0.285,0.639,0.064,-7.630,-1.260,162.470
0.359,0.631,0.071,-6.650,-2.310,148.680
